dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,256,4,15,0.7820640681981742,0.9254966887417221,0.8360599769369655
ml-1m,256,4,20,0.7864262947263532,0.9461920529801324,0.8466516739888014
ml-1m,256,4,25,0.7865972675331292,0.9586092715231788,0.8516446576170861
ml-1m,256,4,30,0.7858855741611388,0.9677152317880796,0.855257838673203
ml-1m,256,4,35,0.7853565311003949,0.9701986754966888,0.8563720665343884
ml-1m,256,5,5,0.6753173289183223,0.7640728476821192,0.7064181908966677
ml-1m,256,5,10,0.7395317591716598,0.8725165562913907,0.7879436942139411
ml-1m,256,5,15,0.7584453625844354,0.9130794701986756,0.8145068640289735
ml-1m,256,5,20,0.7685604601927415,0.9387417218543046,0.8312086476486955
ml-1m,256,5,25,0.7705901141378001,0.9519867549668874,0.8380445846265077
ml-1m,256,5,30,0.7721219921595007,0.9602649006622516,0.8427107381613029
ml-1m,256,5,35,0.7755114905982541,0.9677152317880796,0.8477834060495587
ml-1m,256,5,5,0.6936120309050773,0.7831125827814569,0.7252713392200146
ml-1m,256,5,10,0.7567036555240197,0.8882450331125827,0.80402416809362
ml-1m,256,5,15,0.77166225974173,0.918046357615894,0.8254927237992497
ml-1m,256,5,20,0.7848377622518156,0.9445364238410596,0.8445982351139444
ml-1m,256,5,25,0.7906781745522511,0.9594370860927152,0.854735545838582
ml-1m,256,5,30,0.7859213741824488,0.9652317880794702,0.8538424915927302
ml-1m,256,5,35,0.7854880908718919,0.9701986754966888,0.8556848967796823
ml-1m,256,5,5,0.6799944812362031,0.7615894039735099,0.7083109954798696
ml-1m,256,5,10,0.7568794018711238,0.8783112582781457,0.799871555031172
ml-1m,256,5,15,0.7693586559687554,0.9105960264900662,0.8211532809612271
ml-1m,256,5,20,0.7778594821310566,0.9329470198675496,0.8358654791094606
ml-1m,256,5,25,0.7823670456704013,0.9453642384105959,0.8441667385186363
ml-1m,256,5,30,0.7843906313857051,0.9586092715231788,0.8504668955913666
ml-1m,256,5,35,0.783917328052878,0.9644039735099338,0.8528821479632819
ml-1m,256,5,5,0.6870447019867549,0.7781456953642384,0.7183183538315989
ml-1m,256,5,10,0.7428876931567329,0.8725165562913907,0.7896874915800602
ml-1m,256,5,15,0.7674393831885554,0.918046357615894,0.8227455676036611
ml-1m,256,5,20,0.7731021232511875,0.9403973509933776,0.8349135960252579
ml-1m,256,5,25,0.7784920111735124,0.9577814569536424,0.8445868537173848
ml-1m,256,5,30,0.7804643242259824,0.9677152317880796,0.850086657359428
ml-1m,256,5,35,0.7838874172738409,0.9776490066225164,0.8566330634195998
ml-1m,256,5,5,0.6693984547461369,0.7632450331125827,0.7014664143803218
ml-1m,256,5,10,0.7417747424576895,0.8766556291390728,0.7894906769277579
ml-1m,256,5,15,0.7728519640771296,0.925496688741722,0.8284381021944401
ml-1m,256,5,20,0.7841878434858927,0.9511589403973508,0.8462856973676082
ml-1m,256,5,25,0.7886880602601285,0.9627483443708608,0.8540477456293989
ml-1m,256,5,30,0.7904113676286234,0.9718543046357616,0.8588045717712326
ml-1m,256,5,35,0.7887475730850053,0.9751655629139072,0.8595271845307728
ml-1m,256,5,5,0.6849199779249449,0.7640728476821192,0.7126346841164721
ml-1m,256,5,10,0.7493548302323136,0.8791390728476821,0.7963457386084916
ml-1m,256,5,15,0.7673277858087459,0.9163907284768212,0.8217653226014063
ml-1m,256,5,20,0.7759553307206466,0.9379139072847682,0.8355229535897482
ml-1m,256,5,25,0.7863147100344167,0.956953642384106,0.8498936789253507
ml-1m,256,5,30,0.7877936081789353,0.9668874172185432,0.8551582521654024
ml-1m,256,5,35,0.7862304002014306,0.9710264900662252,0.8564724771661453
ml-1m,256,5,5,0.6766556291390728,0.7615894039735099,0.7060397613791654
ml-1m,256,5,10,0.7571126353411121,0.8758278145695364,0.8007930424798492
ml-1m,256,5,15,0.7737889295215454,0.9163907284768212,0.8273110010926846
ml-1m,256,5,20,0.7812919181962058,0.9370860927152318,0.840351814765686
ml-1m,256,5,25,0.7859044804850475,0.9528145695364238,0.8498376188141109
ml-1m,256,5,30,0.7882049452599919,0.961092715231788,0.8549892134135249
ml-1m,256,5,35,0.7886027064854646,0.9660596026490066,0.8575775934565031
ml-1m,256,5,5,0.6889348785871965,0.7781456953642384,0.7197663723325974
ml-1m,256,5,10,0.75637154420267,0.8849337748344371,0.8026747051122729
ml-1m,256,5,15,0.7728261965223886,0.9213576158940396,0.8270199119430615
ml-1m,256,5,20,0.7798688838769288,0.9403973509933776,0.8396226491568086
ml-1m,256,5,25,0.7845026531550584,0.9561258278145696,0.8487942887837477
ml-1m,256,5,30,0.7892224802649661,0.9668874172185432,0.8567330454918143
ml-1m,256,5,35,0.7882184328599163,0.9759933774834436,0.8592862861242256
ml-1m,256,5,5,0.6983029801324504,0.7789735099337748,0.7262555187637969
ml-1m,256,5,10,0.7674159702512351,0.8899006622516556,0.8128399662525229
ml-1m,256,5,15,0.7805056675296742,0.9263245033112584,0.8346103099099834
ml-1m,256,5,20,0.7848454526318046,0.945364238410596,0.8459921164466442
ml-1m,256,5,25,0.7888510891591168,0.9627483443708608,0.8553820062776228
ml-1m,256,5,30,0.792316546206813,0.9743377483443708,0.8616858456994549
ml-1m,256,5,35,0.7895957070107147,0.9784768211920528,0.8616237597889237
ml-1m,256,5,5,0.6876241721854305,0.7706953642384106,0.716614107011458
ml-1m,256,5,10,0.7548341742878166,0.8774834437086093,0.7993684934355233
ml-1m,256,5,15,0.7679970002403778,0.9172185430463576,0.8230891704299211
ml-1m,256,5,20,0.7823571097685362,0.941225165562914,0.8425356211896687
ml-1m,256,5,25,0.7836307569933705,0.9586092715231788,0.8498313645234316
ml-1m,256,5,30,0.7865772095100564,0.9668874172185432,0.8555763638871986
ml-1m,256,5,35,0.785060364354085,0.972682119205298,0.8571719649809343
ml-1m,256,6,5,0.6852649006622517,0.7698675496688742,0.7145596814884895
